en,yr
I  don’t like going out to parties with friends but I like watching TV..,Mo kórìíra láti máa lo sí àpèjẹ pèlú àwọn ọ̀rẹ́ mi ṣùgbọ́n mo fẹ́ràn láti máa wo tẹlifíṣọ̀n
That is why you have not grown sick.,Ìdí nìyẹn tí ìwọ kò tíì fi ṣàìsàn.
"In time, she gave birth to a beautiful baby girl.","Nígbà tó yá, ó bí arẹwà ọmọbìnrin kan."
"We plant and water, but God makes it grow.","À ń gbìn, a sì ń bomi rin, àmọ́ Ọlọ́run ló ń mú kó dàgbà"
Put Away Backbiting.,Ẹ Mú Ìsọ̀rọ̀ Ẹni Lẹ́yìn Kúrò.
"He snored loudly and irregularly every night and at times violently jerked himself awake, gasping for breath.","Ó máa ń han-anrun gan-an látìgbàdégbà lóru, ìgbà míì sì rèé, ó lè ta jí wùyà lójú oorun tí yóò sì máa mi hẹlẹhẹlẹ."
In an Upstairs Room.,Nínú Yàrá Kan Lórí Òkè Pẹ̀tẹ́ẹ̀sì.
"He has been described as a man “of consummate ambition, prodigious arrogance, and unsurpassed political skill.","Irú èèyàn tí wọ́n sọ pé ó jẹ́ ni ẹni tó “ń lépa ipò ọlá lójú méjèèjì, tó jọra ẹ̀ lójú bí nǹkan míì, tó sì jẹ́ ògbóǹtagí nínú ọ̀ràn ìṣèlú."
A group of preteens are playing a game of coed football.,Àwùjọ àwọn èwe kan tí kò tíì pé ọmọ ọdún mẹ́tàlá jọ ń gbá bọ́ọ̀lù aláfọwọ́gbá tó wà fún ọkùnrin àtobìnrin.
Most of us can probably do little to develop some innovative new technology.,Ọ̀pọ̀ jù lọ lára wa ni kò lè hùmọ̀ iṣẹ́ ẹ̀rọ àkọ̀tun èyíkéyìí.
